Generated On,Energy Yield (kWh),Irradiance(W/m²),Temp ( c ) ,Rain (mm),Wind (kn),Income,Wind (km/hr),Dust (ug/m3)
"2020-07-28	",1200.17,16014,27.1,67.7,14,4800.68,25.928,13
"2020-07-29	",1298.65,15896,26.8,14.6,22,5194.6,40.744,12
"2020-07-31	",1486.24,18329,27.3,2.4,17,5944.96,31.484,12
"2020-08-01	",643.67,7832,25.3,27.2,18,2574.68,33.336,7
"2020-08-02	",641.64,8134,25.8,18.5,12,2566.56,22.224,6
"2020-08-03	",1351.36,15245,27.2,23.3,24,5405.44,44.448,8
"2020-08-04	",807.27,9780,26.3,0.2,9,3229.08,16.668,9
"2020-08-05	",1183.11,14072,27.8,0,12,4732.44,22.224,12
"2020-08-07	",913.79,11151,27.1,8.2,9,3655.16,16.668,14
"2020-08-08	",1414.26,16958,27.6,0,12,5657.04,22.224,9
"2020-08-09	",1419.49,16619,27.3,1.8,13,5677.96,24.076,7
"2020-08-10	",995.99,12440,26.5,2.6,17,3983.96,31.484,8
"2020-08-12	",1230.98,14480,26.9,8.2,17,4923.92,31.484,13
"2020-08-13	",1263.25,15446,25.6,33.3,14,5053,25.928,6
"2020-08-14	",1637.87,20647,27.7,0,11,6551.48,20.37,11
"2020-08-15	",1163,13913,27.3,0.9,11,4652,20.37,16
"2020-08-16	",1551.49,20598,27.8,0,11,6205.96,20.37,14
"2020-08-17	",1758.83,24096,28.9,0,12,7035.32,22.224,17
"2020-08-18	",1757.47,22297,28.7,0,13,7029.88,24.076,21
"2020-08-19	",1618.83,21720,28,0,8,6475.32,14.816,20
"2020-08-20	",1647.1,20604,28.5,0,10,6588.4,18.52 ,17
"2020-08-21	",1609.24,21969,28.6,2.6,9,6436.96,16.668,17
"2020-08-22	",1552.87,20433,27.7,20,18,6211.48,33.336,15
"2020-08-23	",1632.5,23937,27.8,0.4,17,6530,31.484,13
"2020-08-24	",1694.96,23149,28.7,0,8,6779.84,14.816,15
"2020-08-25	",1308.1,17732,28,0,17,5232.4,31.484,17
"2020-08-26	",1735.35,24287,29,0,10,6941.4,18.52 ,18
"2020-08-27	",1634.99,24195,29,0,15,6539.96,27.78,11
"2020-08-28	",1368.39,18324,27.6,1.3,18,5473.56,33.336,13
"2020-08-29	",1729.17,23411,28.7,0,11,6916.68,20.37,13
"2020-08-30	",1705.12,22636,28.2,0,13,6820.48,24.076,11
"2020-08-31	",1615.66,22634,27.8,4.7,17,6462.64,31.484,11
"2020-09-01	",1505.62,20127,27.8,0,20,6022.48,37.04,12
"2020-09-02	",1046.06,13556,26.7,5.4,18,4184.24,33.336,13
"2020-09-03	",1485.83,20079,27.6,0,5,5943.32,9.26,13
"2020-09-04	",1584.29,22137,28.3,13.1,16,6337.16,29.632,12
"2020-09-05	",1517.88,20297,27.3,83.3,31,6071.52,51.856,9
"2020-09-06	",1489.09,20160,28,0,15,5956.36,27.78,10
"2020-09-07	",1375.86,18247,28.2,0.6,9,5503.44,16.668,12
"2020-09-08	",1605.36,21299,27.3,15.6,14,6421.44,25.928,8
"2020-09-09	",1664.56,22049,28.2,10.7,12,6658.24,22.224,10
