Generated On,Energy Yield (kWh),Irradiance(W/m²,Temp ( C ),Rain (mm),Wind (kn),Wind (km/hr),Dust (ug/m3)
,1162.220323,15513.51613,26.77419355,7.477419355,10.09677419,,13.19354839
"2019-11-01	",1488.99,18064,27.8,0,10,18.52,23
"2019-11-02	",1104.24,13757,26.5,7.5,11,20.372,10
"2019-11-03	",1372.82,17578,26.5,0,12,22.224,11
"2019-11-04	",971.37,13155,26.2,8.1,15,27.78,11
"2019-11-05	",1107.56,14515,26.5,21,12,22.224,9
"2019-11-06	",1192.06,15609,25.7,15.8,19,35.18,9
"2019-11-07	",1194.9,15079,26.1,18.6,10,18.52,10
"2019-11-08	",1485.26,19717,26.3,28.1,15,27.78,9
"2019-11-09	",1372.14,17408,26.8,14.5,10,18.52,9
"2019-11-10	",898.83,10994,25.9,1.7,6,11.112,17
"2019-11-11	",1565.54,20508,25.8,0,11,20.372,35
"2019-11-12	",1634.57,21611,26.3,0,8,14.816,40
"2019-11-13	",1625.98,22152,26.8,0,10,18.52,37
"2019-11-14	",1348.97,17279,27.2,0,14,25.928,30
"2019-11-15	",951.04,12168,26.8,9.3,16,29.632,20
"2019-11-16	",1600.92,19629,27,0,12,22.224,18
"2019-11-17	",1351.31,18274,27,0,10,18.52,22
"2019-11-18	",1395.35,18586,27.5,0,13,24.076,20
"2019-11-19	",1218.42,15765,26.8,T,12,22.224,18
"2019-11-20	",717.04,3963,24.6,18.9,19,35.18,10
"2019-11-21	",1041.86,12990,25.4,0.2,10,18.52,13
"2019-11-22	",1461.83,17631,26.6,0,12,22.224,15
"2019-11-23	",1577.76,20172,27.2,0,11,20.372,15
"2019-11-24	",1650.23,21610,26.4,0,10,18.52,15
"2019-11-25	",991.27,12909,25.7,2.6,12,22.224,16
"2019-11-26	",1070.73,13145,26.3,1.7,16,29.632,8
"2019-11-27	",758.25,9405,26.5,2.3,10,18.52,9
"2019-11-28	",1145.18,13431,26.4,9,12,22.224,9
"2019-11-29	",892.59,11491,26.7,13.7,18,33.336,10
"2019-11-30	",1131.11,13839,26.3,2.1,15,27.78,9
,1243.937333,15747.8,26.45333333,5.836666667,12.36666667,,16.23333333
"2019-12-01	",1079.52,15354,26.9,0,11,20.372,11
"2019-12-02	",1497.8,19620,27.2,0.4,5,9.26,11
"2019-12-03	",840.6,10483,25.8,8.5,15,27.78,15
"2019-12-04	",843.44,9876,25,2.7,11,20.372,14
"2019-12-05	",1041.79,13155,25.4,6.4,11,20.372,16
"2019-12-06	",892.78,10889,25,0,22,40.744,19
"2019-12-07	",1097.64,13657,24.2,1.4,18,33.336,22
"2019-12-08	",784.73,9097,24.1,6.1,10,18.52,22
"2019-12-09	",951.9,11484,24.8,0,19,35.18,23
"2019-12-10	",1290.15,14976,25.1,0,15,27.78,22
"2019-12-11	",1593.46,21095,25.6,0,16,29.632,17
"2019-12-12	",1296.68,16660,25.8,0,16,29.632,19
"2019-12-13	",1259.81,15725,25.7,0,12,22.224,18
"2019-12-14	",1163.86,16262,26.2,0,15,27.78,19
"2019-12-15	",492.17,5384,25.8,18.1,17,31.484,17
"2019-12-16	",887.39,11224,26,3,10,18.52,16
"2019-12-17	",619.59,7945,26.2,0,12,22.224,16
"2019-12-18	",1139.44,14550,26.6,0,11,20.372,17
"2019-12-19	",1312.17,16512,26.4,0.6,11,20.372,10
"2019-12-20	",1418.64,19164,26.7,0,12,22.224,10
"2019-12-21	",1420.71,18561,26.2,0,14,25.928,15
"2019-12-22	",1428.07,18194,26.3,0,10,18.52,19
